,open,high,low,close
2013-07-15T21:00:00.000000000Z,90.853,91.900,90.791,91.693
2013-07-16T21:00:00.000000000Z,91.693,92.194,91.450,91.986
2013-07-17T21:00:00.000000000Z,91.986,92.204,91.596,92.088
2013-07-18T21:00:00.000000000Z,92.088,92.562,91.606,92.297
2013-07-21T21:00:00.000000000Z,92.297,92.572,91.864,92.182
2013-07-22T21:00:00.000000000Z,92.182,92.580,91.804,92.472
2013-07-23T21:00:00.000000000Z,92.472,92.740,91.683,91.874
2013-07-24T21:00:00.000000000Z,91.874,91.982,91.350,91.806
2013-07-25T21:00:00.000000000Z,91.806,91.928,90.572,90.966
2013-07-28T21:00:00.000000000Z,90.966,91.073,89.827,90.173
2013-07-29T21:00:00.000000000Z,90.173,90.306,88.689,88.841
2013-07-30T21:00:00.000000000Z,88.841,89.042,87.830,87.914
2013-07-31T21:00:00.000000000Z,87.914,88.979,87.248,88.846
2013-08-01T21:00:00.000000000Z,88.846,89.102,87.916,88.102
2013-08-04T21:00:00.000000000Z,88.102,88.292,87.479,87.770
2013-08-05T21:00:00.000000000Z,87.770,88.576,87.288,87.826
2013-08-06T21:00:00.000000000Z,87.826,87.930,86.412,86.700
2013-08-07T21:00:00.000000000Z,86.700,88.166,86.654,88.016
2013-08-08T21:00:00.000000000Z,88.016,88.773,87.792,88.564
2013-08-11T21:00:00.000000000Z,88.564,89.036,88.064,88.652
2013-08-12T21:00:00.000000000Z,88.652,89.650,88.516,89.510
2013-08-13T21:00:00.000000000Z,89.510,89.820,89.086,89.521
2013-08-14T21:00:00.000000000Z,89.521,90.076,88.723,89.016
2013-08-15T21:00:00.000000000Z,89.016,89.896,88.626,89.570
2013-08-18T21:00:00.000000000Z,89.570,90.131,88.841,88.868
2013-08-19T21:00:00.000000000Z,88.868,89.223,87.597,88.234
2013-08-20T21:00:00.000000000Z,88.234,88.470,87.610,87.612
2013-08-21T21:00:00.000000000Z,87.612,89.208,87.410,88.934
2013-08-22T21:00:00.000000000Z,88.934,89.412,88.894,89.134
2013-08-25T21:00:00.000000000Z,89.134,89.270,88.719,88.960
2013-08-26T21:00:00.000000000Z,88.960,89.009,86.933,87.171
2013-08-27T21:00:00.000000000Z,87.171,87.513,86.470,87.294
2013-08-28T21:00:00.000000000Z,87.294,88.007,87.246,87.825
2013-08-29T21:00:00.000000000Z,87.825,87.940,87.240,87.374
2013-09-01T21:00:00.000000000Z,87.374,89.522,87.374,89.177
2013-09-02T21:00:00.000000000Z,89.177,90.506,89.130,90.236
2013-09-03T21:00:00.000000000Z,90.236,91.566,89.992,91.497
2013-09-04T21:00:00.000000000Z,91.497,91.580,91.070,91.312
2013-09-05T21:00:00.000000000Z,91.312,91.566,90.646,91.045
2013-09-08T21:00:00.000000000Z,91.045,92.066,91.045,91.888
2013-09-09T21:00:00.000000000Z,91.888,93.576,91.860,93.484
2013-09-10T21:00:00.000000000Z,93.484,93.564,92.937,93.184
2013-09-11T21:00:00.000000000Z,93.184,93.265,91.727,92.280
2013-09-12T21:00:00.000000000Z,92.280,92.486,91.689,91.869
2013-09-15T21:00:00.000000000Z,91.869,92.815,91.869,92.318
2013-09-16T21:00:00.000000000Z,92.318,92.974,92.123,92.740
2013-09-17T21:00:00.000000000Z,92.740,93.380,92.420,93.227
2013-09-18T21:00:00.000000000Z,93.227,94.448,93.058,93.852
2013-09-19T21:00:00.000000000Z,93.852,94.104,93.268,93.295
2013-09-22T21:00:00.000000000Z,93.295,93.581,92.950,93.224
2013-09-23T21:00:00.000000000Z,93.224,93.388,92.244,92.733
2013-09-24T21:00:00.000000000Z,92.733,92.776,91.920,92.206
2013-09-25T21:00:00.000000000Z,92.206,93.018,92.050,92.704
2013-09-26T21:00:00.000000000Z,92.704,92.775,91.384,91.540
2013-09-27T21:00:00.000000000Z,91.540,91.540,91.429,91.437
2013-09-29T21:00:00.000000000Z,91.437,91.902,90.738,91.560
2013-09-30T21:00:00.000000000Z,91.560,92.397,91.383,92.102
2013-10-01T21:00:00.000000000Z,92.102,92.248,90.800,91.370
2013-10-02T21:00:00.000000000Z,91.370,91.880,90.936,91.372
2013-10-03T21:00:00.000000000Z,91.372,92.028,91.290,91.951
2013-10-06T21:00:00.000000000Z,91.951,91.951,90.993,91.182
2013-10-07T21:00:00.000000000Z,91.182,92.206,91.046,91.301
2013-10-08T21:00:00.000000000Z,91.301,92.146,91.200,91.940
2013-10-09T21:00:00.000000000Z,91.940,93.013,91.796,92.782
2013-10-10T21:00:00.000000000Z,92.782,93.444,92.438,93.322
2013-10-13T21:00:00.000000000Z,93.322,93.676,92.541,93.526
2013-10-14T21:00:00.000000000Z,93.526,94.106,93.259,93.509
2013-10-15T21:00:00.000000000Z,93.509,94.408,93.268,94.334
2013-10-16T21:00:00.000000000Z,94.334,94.494,93.781,94.345
2013-10-17T21:00:00.000000000Z,94.345,94.676,94.118,94.590
2013-10-20T21:00:00.000000000Z,94.590,94.968,94.480,94.776
2013-10-21T21:00:00.000000000Z,94.776,95.684,94.610,95.272
2013-10-22T21:00:00.000000000Z,95.272,95.680,93.432,93.714
2013-10-23T21:00:00.000000000Z,93.714,94.360,93.179,93.614
2013-10-24T21:00:00.000000000Z,93.614,93.712,93.000,93.362
2013-10-27T21:00:00.000000000Z,93.362,93.980,93.362,93.505
2013-10-28T21:00:00.000000000Z,93.505,93.544,92.667,93.072
2013-10-29T21:00:00.000000000Z,93.072,93.517,92.854,93.422
2013-10-30T21:00:00.000000000Z,93.422,93.612,92.822,93.006
2013-10-31T21:00:00.000000000Z,93.006,93.374,92.740,93.116
2013-11-03T22:00:00.000000000Z,93.116,93.850,93.116,93.781
2013-11-04T22:00:00.000000000Z,93.781,93.869,92.984,93.650
2013-11-05T22:00:00.000000000Z,93.650,94.164,93.395,93.988
2013-11-06T22:00:00.000000000Z,93.988,94.090,92.341,92.752
2013-11-07T22:00:00.000000000Z,92.752,93.151,92.580,92.958
